camera,west,south,east,north,width_px,height_px,resolution_m,composite_year,collection,source_items
fiji,176.835,-19.150179,-179.535447,-15.85,3367,3191,120.0,2023,dep_s2_geomad,dep_s2_geomad_062_019_2023|dep_s2_geomad_062_020_2023|dep_s2_geomad_062_021_2023|dep_s2_geomad_062_022_2023|dep_s2_geomad_062_023_2023|dep_s2_geomad_063_019_2023|dep_s2_geomad_063_020_2023|dep_s2_geomad_063_021_2023|dep_s2_geomad_063_022_2023|dep_s2_geomad_063_023_2023|dep_s2_geomad_064_019_2023|dep_s2_geomad_064_020_2023|dep_s2_geomad_064_021_2023|dep_s2_geomad_064_022_2023|dep_s2_geomad_064_023_2023|dep_s2_geomad_065_019_2023|dep_s2_geomad_065_020_2023|dep_s2_geomad_065_021_2023|dep_s2_geomad_065_022_2023|dep_s2_geomad_065_023_2023|dep_s2_geomad_066_019_2023|dep_s2_geomad_066_020_2023|dep_s2_geomad_066_021_2023|dep_s2_geomad_066_022_2023|dep_s2_geomad_066_023_2023
tongatapu,-175.85,-21.712511,-174.549958,-20.7375,3618,2894,40.0,2023,dep_s2_geomad,dep_s2_geomad_070_016_2023|dep_s2_geomad_070_017_2023|dep_s2_geomad_071_016_2023|dep_s2_geomad_071_017_2023|dep_s2_geomad_072_016_2023|dep_s2_geomad_072_017_2023
vanuatu,165.845,-18.060251,169.254645,-14.54,3163,3382,120.0,2023,dep_s2_geomad,dep_s2_geomad_049_020_2023|dep_s2_geomad_049_021_2023|dep_s2_geomad_049_022_2023|dep_s2_geomad_049_023_2023|dep_s2_geomad_049_024_2023|dep_s2_geomad_050_020_2023|dep_s2_geomad_050_021_2023|dep_s2_geomad_050_022_2023|dep_s2_geomad_050_023_2023|dep_s2_geomad_050_024_2023|dep_s2_geomad_051_020_2023|dep_s2_geomad_051_021_2023|dep_s2_geomad_051_022_2023|dep_s2_geomad_051_023_2023|dep_s2_geomad_051_024_2023|dep_s2_geomad_052_020_2023|dep_s2_geomad_052_021_2023|dep_s2_geomad_052_022_2023|dep_s2_geomad_052_023_2023|dep_s2_geomad_052_024_2023|dep_s2_geomad_053_020_2023|dep_s2_geomad_053_021_2023|dep_s2_geomad_053_022_2023|dep_s2_geomad_053_023_2023|dep_s2_geomad_053_024_2023
